ETHNIC_CODE,ETHNIC
AAR,Afar
ABK,Abkhaz
ABR,Aboriginal-Australians
ACE,Acehnese
ACG,Achang
ACH,Acholi
ADA,Ga
ADI,Adivasi
ADJ,Adjarians
ADY,Adyghe
AFA,Black-African
AFR,Afrikaners
AHM,Ahmadis
AIN,Ainu
AJA,Aja
AKA,Akan
AKU,Aku
ALA,Alawi
ALB,Albanian
ALE,Aleut
ALG,Algonquian
ALT,Altay
ALU,Alur
AMB,Ambonese
AME,Americo-Liberians
AMH,Amhara
ANP,Angika speakers
APA,Apache
ARA,Arab
ARB,Arab
ARG,Aragonese
ARM,Armenian
ARN,Mapuche
ARP,Arapaho
ARW,Arawak
ASA,Asian
ASH,Ashkenazi Jews
ASM,Assamese
AST,Asturian
ASY,Assyrian
ATA,Atacamenos
ATG,Argentinians
ATH,Athabaskan
ATS,Agnostic/Athiest
AUS,Australians
AUU,Austrians
AVA,Caucasian Avars
AWA,Awadhi
AYM,Aymara
AZE,Azerbaijani
BAD,Baganda
BAH,Bahais
BAI,Bamileke
BAK,Bashkirs
BAL,Baloch
BAM,Bambara
BAN,Balinese
BAQ,Basque
BAR,Bari
BAS,Basoga
BAY,Gbaya
BDA,Rakhine
BEJ,Beja
BEL,Belarusians
BEM,Bemba
BEN,Bengali-Hindu
BER,Berber
BEY,Beydan
BHO,Bhojpuri
BIH,Bihari
BII,Bai
BIK,Bicolano
BIN,Edo
BIS,Urban ni-Vanautu
BKE,Bateke
BKN,Bakongo
BKW,Bakweri
BLA,Siksikawa
BLG,Blang
BLK,Balkars
BLN,Balanta
BMR,Bamar
BNI,Beni-Shugal-Gumez
BNT,Bantu
BNY,Banyarwanda
BOD,Bodo
BOD,Tibetan
BOL,Bolivia
BON,Bonan
BOS,Bosniaks
BOU,Buyei
BRA,Brijwasi
BRB,Bariba
BRE,Breton
BRH,Brahui
BRK,Burakumin
BRM,Kurichiya
BSH,Bushmen
BST,Baster
BSU,Subiya
BTE,Beti-Pahuin
BTK,Batak
BUA,Buryat
BUD,Buddhist
BUG,Bugis
BUL,Bulgarian
BYN,Bilen
