KEDS_ACTOR_CODE,ACTOR
ABN,ALBANIAN
AFGGOVTAL,TALIBAN
AFGREBTAL,TALIBAN
AGOCAB,CABINDA ENCLAVE
AGOREBUNI,UNITA
ARBBTH,BAATH PARTY
BIHBHF,BOSNIAK-CROAT FEDERATION
BIHSRP,BOSNIAN SERB REPUBLIKA SRPSKA
CHNTIC,TIBET
CHRCPT,COPTIC
CHRCTH,CATHOLIC
CHRDOX,ORTHODOX
CHRJHW,JEHOVAH’S WITNESSES
CHRLDS,LATTER DAY SAINTS
CHRMRN,MARONITE
CHRPRO,PROTESTANT
CHRRAD,“FUNDAMENTALIST” CHRISTIAN
CYPGRK,GREEK CYPRIOT
CYPTRK,TURKISH CYPRIOT
CZA,CZECHOSLOVAKIA
DZAGOVFLN,FLN
DZAGOVMSP,SOCIETY FOR PEACE
DZAGOVRND,DEMOCRATIC NATIONAL RALLY
DZAOPPENN,ENNAHDA MOVEMENT
DZAOPPFIS,ISLAMIC SALVATION FRONT
DZAOPPFLN,FLN
DZAOPPMSP,SOCIETY FOR PEACE
DZAREBFIS,ISLAMIC SALVATION ARMY
DZAREBGIA,GIA
DZAREBGSP,SALAFIST GROUP
EGYREBMBR,MUSLIM BROTHERHOOD
ESPBSQ,BASQUE
FRY,FEDERAL REPUBLIC OF YUGOSLAVIA
FRYKSV,KOSOVO
FRYMTN,MONTENEGRO
FRYSRB,SERBIA
FRYVVD,VOJVODINA
GBRREBIRA,IRISH REPUBLICAN ARMY
GME,EAST GERMANY
GMW,WEST GERMANY
GYP,GYPSY
IGOAGRCPA,COCOA PRODUCER’S ALLIANCE
IGOAGRCPC,COFFEE PRODUCING COUNTRIES
IGOAGRICO,ICCO
IGOAGRIGC,INTERNATIONAL GRAINS COUNCIL
IGOAFRAFU,AFRICAN UNION
IGOAFRAGRIAC,IACO
IGOAFRBUSCES,EAST & SOUTH AFRICA COMMON MARKET
IGOAFRBUSCFA,FRANC ZONE FINANCIAL COMMUNITY
IGOAFRDEVAFB,AFRICAN DEVELOPMENT BANK
IGOAFRDEVATD,EAST & SOUTH AFRICA DEV BANK
IGOAFRDEVNEP,AFRICA DEVELOPMENT PARTNERSHIP
IGOAFROAU,OAU
IGOAFRPAP,PAN AFRICAN PARLIAMENT
IGOARBAPE,OAPEC
IGOARBDEVABD,ARAB DEVELOPMENT BANK
IGOBUSBIS,BANK FOR INTL SETTLEMENTS
IGOBUSGOE,G-8
IGOBUSGOS,G-7
IGOBUSGSS,G-77
IGOBUSHIP,HIPC
IGOBUSIMF,IMF
IGOBUSOPC,OPEC
IGOBUSPRC,PARIS CLUB
IGOBUSWTO,WTO
IGOCAFBCA,BEAC
IGOCAFECA,CENTRAL AFRICAN ECONOMIC COMMUNITY
IGOCAFCEM,CEMAC
